"Index","fcmean","fc95","fc80","fc50","fc0"
2016-09-06 00:00:00,3326719576.72,3326719576.72,3326719576.72,3326719576.72,3326719576.72
2016-09-06 01:00:00,3026113671.27,3026113671.27,3026113671.27,3026113671.27,3026113671.27
2016-09-06 02:00:00,2928297755.89,2928297755.89,2928297755.89,2928297755.89,2928297755.89
2016-09-06 03:00:00,3571428571.43,3571428571.43,3571428571.43,3571428571.43,3571428571.43
2016-09-06 04:00:00,3962780514.5,3962780514.5,3962780514.5,3962780514.5,3962780514.5
2016-09-06 05:00:00,4625661375.66,4625661375.66,4625661375.66,4625661375.66,4625661375.66
2016-09-06 06:00:00,5351851851.85,5351851851.85,5351851851.85,5351851851.85,5351851851.85
2016-09-06 07:00:00,5943420378.91,5943420378.91,5943420378.91,5943420378.91,5943420378.91
2016-09-06 08:00:00,6383415435.14,6383415435.14,6383415435.14,6383415435.14,6383415435.14
2016-09-06 09:00:00,6383768561.19,6383768561.19,6383768561.19,6383768561.19,6383768561.19
2016-09-06 10:00:00,6628352490.42,6628352490.42,6628352490.42,6628352490.42,6628352490.42
2016-09-06 11:00:00,7105820105.82,7105820105.82,7105820105.82,7105820105.82,7105820105.82
2016-09-06 12:00:00,6588624338.63,6588624338.63,6588624338.63,6588624338.63,6588624338.63
2016-09-06 13:00:00,6629544290.83,6629544290.83,6629544290.83,6629544290.83,6629544290.83
2016-09-06 14:00:00,6969074986.32,6969074986.32,6969074986.32,6969074986.32,6969074986.32
2016-09-06 15:00:00,8997695852.53,8997695852.53,8997695852.53,8997695852.53,8997695852.53
2016-09-06 16:00:00,8842364532.02,8842364532.02,8842364532.02,8842364532.02,8842364532.02
2016-09-06 17:00:00,8798941798.94,8798941798.94,8798941798.94,8798941798.94,8798941798.94
2016-09-06 18:00:00,8798941798.94,8798941798.94,8798941798.94,8798941798.94,8798941798.94
2016-09-06 19:00:00,9418842805.94,9418842805.94,9418842805.94,9418842805.94,9418842805.94
2016-09-06 20:00:00,9137931034.48,9137931034.48,9137931034.48,9137931034.48,9137931034.48
