time,id,port,rx_packets,rx_byes,rx_errors,tx_packets,tx_bytes,tx_errors,rx_packetsps,rx_byesps,rx_errorsps,tx_packetsps,tx_bytesps,tx_errorspsn
11.006223,      32,       2,      22,    2052,       0,       8,     948,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12.004778,      32,       2,      62,    5564,       0,      22,    2717,       0,40.064458,3517.659381,0.000000,14.022560,1771.850639,0.000000
13.007207,      32,       2,     105,   12979,       0,      33,    4238,       0,42.902050,7398.109404,0.000000,10.974943,1517.535321,0.000000
14.006974,      32,       2,     127,   17248,       0,      41,    5433,       0,22.007503,4270.455963,0.000000,8.002728,1195.407561,0.000000
15.008506,      32,       2,     131,   18095,       0,      43,    5801,       0,3.995102,845.962893,0.000000,1.997551,367.549403,0.000000
16.009391,      32,       2,     148,   20411,       0,      47,    6332,       0,16.987380,2314.280692,0.000000,3.997031,530.605806,0.000000
17.006344,      32,       2,     161,   22781,       0,      51,    6724,       0,13.040752,2377.429353,0.000000,4.012539,393.228821,0.000000
18.006636,      32,       2,     199,   26423,       0,      67,    8252,       0,37.994030,3641.427867,0.000000,15.997487,1527.759962,0.000000
19.006521,      32,       2,     219,   28636,       0,      73,    8809,       0,20.006339,2213.701430,0.000000,6.001902,557.176546,0.000000
20.006624,      32,       2,     253,   31407,       0,      94,   52468,       0,33.998817,2770.903547,0.000000,20.999269,43657.480322,0.000000
21.007083,      32,       2,     357,   39423,       0,     174,  226936,       0,103.962572,8013.115182,0.000000,79.971209,174405.212021,0.000000
22.007419,      32,       2,     431,   44715,       0,     251,  401338,       0,73.988745,5291.195151,0.000000,76.988289,174375.475563,0.000000
23.010438,      32,       2,     522,   51213,       0,     327,  575398,       0,90.736852,6479.209492,0.000000,75.780228,173556.664223,0.000000
24.011882,      32,       2,     610,   57261,       0,     403,  749458,       0,87.886724,6040.214822,0.000000,75.902170,173835.944444,0.000000
25.008326,      32,       2,     674,   61957,       0,     461,  880069,       0,64.235682,4713.293184,0.000000,58.213587,131091.979555,0.000000
26.008241,      32,       2,     685,   62895,       0,     479,  923518,       0,11.002133,938.181852,0.000000,18.003490,43457.423539,0.000000
27.008450,      32,       2,     759,   67896,       0,     538, 1054236,       0,73.994972,5000.660209,0.000000,58.995991,130709.118408,0.000000
28.009004,      32,       2,     762,   68217,       0,     538, 1054236,       0,2.998612,320.851443,0.000000,0.000000,0.000000,0.000000
29.010002,      32,       2,     763,   68559,       0,     538, 1054236,       0,0.999142,341.706467,0.000000,0.000000,0.000000,0.000000
30.010494,      32,       2,     784,   70037,       0,     556, 1097685,       0,20.996306,1477.739987,0.000000,17.996833,43441.356367,0.000000
31.010962,      32,       2,     847,   74391,       0,     614, 1228296,       0,62.979204,4352.562741,0.000000,57.980854,130567.885214,0.000000
32.010908,      32,       2,     951,   81975,       0,     704, 1445541,       0,104.012994,7584.947598,0.000000,90.011245,217272.144099,0.000000
33.010778,      32,       2,    1328,  107493,       0,    1054, 2276316,       0,377.200278,25531.556188,0.000000,350.185934,831216.341112,0.000000
34.012148,      32,       2,    1349,  108971,       0,    1072, 2319765,       0,20.975920,1476.305223,0.000000,17.979360,43399.178374,0.000000
35.012140,      32,       2,    1454,  116281,       0,    1166, 2537274,       0,105.032880,7312.289065,0.000000,94.029435,217577.111121,0.000000
36.011661,      32,       2,    1602,  126809,       0,    1300, 2841945,       0,148.096429,10534.859470,0.000000,134.087307,304869.506981,0.000000
37.012741,      32,       2,    1687,  132983,       0,    1376, 3016005,       0,84.914747,6167.807641,0.000000,75.923774,173885.422403,0.000000
38.012258,      32,       2,    1750,  137337,       0,    1435, 3146958,       0,63.037453,4356.588420,0.000000,59.035075,131030.850552,0.000000
39.012863,      32,       2,    1750,  137337,       0,    1435, 3146958,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
40.021455,      32,       2,    1771,  138815,       0,    1453, 3190407,       0,20.822407,1465.500820,0.000000,17.847777,43081.559626,0.000000
41.014641,      32,       2,    1834,  143169,       0,    1511, 3321018,       0,63.435867,4384.123245,0.000000,58.401274,131514.635089,0.000000
42.015476,      32,       2,    1834,  143169,       0,    1511, 3321018,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
43.015980,      32,       2,    1836,  143618,       0,    1512, 3321125,       0,1.999746,448.942950,0.000000,0.999873,106.986404,0.000000
