time,phase
0.518616914749,1
1.89865803719,1
3.27211499214,1
4.8759200573,1
6.2694671154,1
7.93657493591,1
9.47223091125,1
10.9328529835,1
12.4089200497,1
13.8266038895,1
15.2751510143,1
16.7068250179,1
18.234607935,1
19.6885609627,1
21.2072849274,1
22.7840790749,1
24.4522650242,1
25.9274880886,1
27.474257946,1
29.0383169651,1
30.7977459431,1
32.5788199902,1
34.6229031086,1
36.2772750854,1
38.0003459454,1
39.6587510109,1
41.4005899429,1
43.1058290005,1
44.7997000217,1
46.5629889965,1
48.2990050316,1
50.1909658909,1
51.935051918,1
53.7264740467,1
55.5795109272,1
57.343239069,1
59.1826899052,1
60.9493238926,1
62.6898899078,1
64.392031908,1
66.106926918,1
69.2188470364,1
70.9468870163,2
73.1061210632,2
75.2223219872,2
77.3554799557,2
79.2481369972,2
81.2269370556,2
83.0421080589,2
84.5841751099,2
86.142565012,2
87.7904150486,2
89.5958089828,2
91.5715589523,2
93.5956370831,2
95.6382191181,2
97.4699280262,2
99.354571104,2
101.521267891,2
103.682748079,2
105.712801933,2
107.712817907,2
109.576900959,2
111.455528975,2
113.501735926,2
116.001758099,2
118.036956072,2
120.186510086,2
122.584958076,2
124.545392036,2
126.451818943,2
128.373112917,2
130.376610994,2
132.212399006,2
134.313267946,2
136.218622923,2
138.139852047,2
140.152981997,2
142.081187963,2
143.832680941,2
145.493614912,2
147.180299044,2
148.954971075,2
150.525216103,1
152.681983948,1
154.683417082,1
156.528059959,1
158.396603107,1
160.123390913,1
161.931792974,1
163.776165962,1
165.626395941,1
167.38340807,1
168.93165493,1
170.647818089,1
172.443739891,1
174.223625898,1
175.741724014,1
177.461899042,1
179.173187017,1
180.857861042,1
182.488658905,1
184.142507076,1
185.770735025,1
187.401550055,1
189.082777977,1
190.594325066,1
192.25632906,1
193.855242968,1
195.396151066,1
196.967749119,1
198.619220018,1
200.453849077,1
201.947452068,1
203.439640999,1
205.08575201,1
206.671726942,1
208.174938917,1
209.59832406,1
211.069308043,1
