S	LB	1575171428	5
LB	VHG1	525057142.857143	15.526285
VHG1	CDN 341287142.857143	100.969570
VHG1	vCDN1 36754000.000000	25.019984
VHG1	vCDN2 36754000.000000	25.019984
VHG1	vCDN3 36754000.000000	25.019984
VHG1	vCDN4 36754000.000000	25.019984
VHG1	vCDN5 36754000.000000	25.019984
LB	VHG2	525057142.857143	15.526285
VHG2	CDN 341287142.857143	100.969570
VHG2	vCDN1 36754000.000000	25.019984
VHG2	vCDN2 36754000.000000	25.019984
VHG2	vCDN3 36754000.000000	25.019984
VHG2	vCDN4 36754000.000000	25.019984
VHG2	vCDN5 36754000.000000	25.019984
LB	VHG3	525057142.857143	15.526285
VHG3	CDN 341287142.857143	100.969570
VHG3	vCDN1 36754000.000000	25.019984
VHG3	vCDN2 36754000.000000	25.019984
VHG3	vCDN3 36754000.000000	25.019984
VHG3	vCDN4 36754000.000000	25.019984
VHG3	vCDN5 36754000.000000	25.019984
