"Index","fcmean","fc95","fc80","fc0"
2016-01-01 00:00:00,48.1755804002,48.1755804002,48.1755804002,48.1755804002
2016-01-01 01:00:00,49.9058439489,49.9058439489,49.9058439489,49.9058439489
2016-01-01 02:00:00,51.6242159297,51.6242159297,51.6242159297,51.6242159297
2016-01-01 03:00:00,53.3124126268,53.3124126268,53.3124126268,53.3124126268
2016-01-01 04:00:00,54.9515191351,54.9515191351,54.9515191351,54.9515191351
2016-01-01 05:00:00,56.5224621521,56.5224621521,56.5224621521,56.5224621521
2016-01-01 06:00:00,58.0065179718,58.0065179718,58.0065179718,58.0065179718
2016-01-01 07:00:00,59.385836756,59.385836756,59.385836756,59.385836756
2016-01-01 08:00:00,60.6439623184,60.6439623184,60.6439623184,60.6439623184
2016-01-01 09:00:00,61.7663258873,61.7663258873,61.7663258873,61.7663258873
2016-01-01 10:00:00,62.7406926903,62.7406926903,62.7406926903,62.7406926903
2016-01-01 11:00:00,63.5575417698,63.5575417698,63.5575417698,63.5575417698
2016-01-01 12:00:00,64.2103621228,64.2103621228,64.2103621228,64.2103621228
2016-01-01 13:00:00,64.6958519333,64.6958519333,64.6958519333,64.6958519333
2016-01-01 14:00:00,65.0140121074,65.0140121074,65.0140121074,65.0140121074
2016-01-01 15:00:00,65.1681302835,65.1681302835,65.1681302835,65.1681302835
2016-01-01 16:00:00,65.1646566541,65.1646566541,65.1646566541,65.1646566541
2016-01-01 17:00:00,65.0129779934,65.0129779934,65.0129779934,65.0129779934
2016-01-01 18:00:00,64.725100926,64.725100926,64.725100926,64.725100926
2016-01-01 19:00:00,64.3152594243,64.3152594243,64.3152594243,64.3152594243
2016-01-01 20:00:00,63.7994645609,63.7994645609,63.7994645609,63.7994645609
2016-01-01 21:00:00,63.1950165142,63.1950165142,63.1950165142,63.1950165142
2016-01-01 22:00:00,62.5199996536,62.5199996536,62.5199996536,62.5199996536
2016-01-01 23:00:00,61.7927812212,61.7927812212,61.7927812212,61.7927812212
2016-01-02 00:00:00,59.5748169922,59.5748169922,59.5748169922,59.5748169922
2016-01-02 01:00:00,61.253072898,61.253072898,61.253072898,61.253072898
2016-01-02 02:00:00,62.9153846344,62.9153846344,62.9153846344,62.9153846344
2016-01-02 03:00:00,64.5443568672,64.5443568672,64.5443568672,64.5443568672
2016-01-02 04:00:00,66.1220179906,66.1220179906,66.1220179906,66.1220179906
2016-01-02 05:00:00,67.6302808307,67.6302808307,67.6302808307,67.6302808307
2016-01-02 06:00:00,69.051437427,69.051437427,69.051437427,69.051437427
2016-01-02 07:00:00,70.3686693047,70.3686693047,70.3686693047,70.3686693047
2016-01-02 08:00:00,71.566552955,71.566552955,71.566552955,71.566552955
2016-01-02 09:00:00,72.6315396502,72.6315396502,72.6315396502,72.6315396502
2016-01-02 10:00:00,73.5523893574,73.5523893574,73.5523893574,73.5523893574
2016-01-02 11:00:00,74.3205403983,74.3205403983,74.3205403983,74.3205403983
2016-01-02 12:00:00,74.9303995817,74.9303995817,74.9303995817,74.9303995817
2016-01-02 13:00:00,75.3795416143,75.3795416143,75.3795416143,75.3795416143
2016-01-02 14:00:00,75.6688113975,75.6688113975,75.6688113975,75.6688113975
2016-01-02 15:00:00,75.8023279101,75.8023279101,75.8023279101,75.8023279101
2016-01-02 16:00:00,75.7873932475,75.7873932475,75.7873932475,75.7873932475
2016-01-02 17:00:00,75.6343144356,75.6343144356,75.6343144356,75.6343144356
